report_date,period_end,ticker,revenue,gross_profit,operating_income,net_income,book_value,total_assets,total_liabilities,operating_cash_flow,capital_expenditure,shares_outstanding
2022-11-04,2022-09-30,CHAR,432837558.72,138508018.79,41119568.08,17313502.35,1254000000.0,2633400000.0,1379400000.0,19910527.7,15149314.56,31000000
2023-02-04,2022-12-31,CHAR,429314960.6,137380787.39,40784921.26,17172598.42,1272000000.0,2671200000.0,1399200000.0,19748488.19,15026023.62,31000000
2023-05-05,2023-03-31,CHAR,423496744.5,135518958.24,40232190.73,16939869.78,1290000000.0,2709000000.0,1419000000.0,19480850.25,14822386.06,31000000
2023-08-04,2023-06-30,CHAR,416213590.06,133188348.82,39540291.06,16648543.6,1308000000.0,2746800000.0,1438800000.0,19145825.14,14567475.65,31000000
2023-11-04,2023-09-30,CHAR,408646485.09,130766875.23,38821416.08,16345859.4,1326000000.0,2784600000.0,1458600000.0,18797738.31,14302626.98,31000000
2024-02-04,2023-12-31,CHAR,402035057.77,128651218.49,38193330.49,16081402.31,1344000000.0,2822400000.0,1478400000.0,18493612.66,14071227.02,31000000
2024-05-05,2024-03-31,CHAR,397375125.36,127160040.11,37750636.91,15895005.01,1362000000.0,2860200000.0,1498200000.0,18279255.77,13908129.39,31000000
2024-08-04,2024-06-30,CHAR,395179205.54,126457345.77,37542024.53,15807168.22,1380000000.0,2898000000.0,1518000000.0,18178243.45,13831272.19,31000000
2022-02-04,2021-12-31,DELT,610000000.0,292800000.0,112850000.0,79300000.0,1900000000.0,2945000000.0,1045000000.0,91195000.0,21350000.0,26000000
2022-05-05,2022-03-31,DELT,633361331.69,304013439.21,117171846.36,82336973.12,1928500000.0,2989175000.0,1060675000.0,94687519.09,22167646.61,26000000
2022-08-04,2022-06-30,DELT,655640753.73,314707561.79,121293539.44,85233297.99,1957000000.0,3033350000.0,1076350000.0,98018292.68,22947426.38,26000000
2022-11-04,2022-09-30,DELT,675257237.08,324123473.8,124922588.86,87783440.82,1985500000.0,3077525000.0,1092025000.0,100950956.94,23634003.3,26000000
2023-02-04,2022-12-31,DELT,691323480.58,331835270.68,127894843.91,89872052.48,2014000000.0,3121700000.0,1107700000.0,103352860.35,24196321.82,26000000
2023-05-05,2023-03-31,DELT,703908707.41,337876179.56,130223110.87,91508131.96,2042500000.0,3165875000.0,1123375000.0,105234351.76,24636804.76,26000000
2023-08-04,2023-06-30,DELT,714074450.32,342755736.16,132103773.31,92829678.54,2071000000.0,3210050000.0,1139050000.0,106754130.32,24992605.76,26000000
2023-11-04,2023-09-30,DELT,723662356.11,347357930.93,133877535.88,94076106.29,2099500000.0,3254225000.0,1154725000.0,108187522.24,25328182.46,26000000
2024-02-04,2023-12-31,DELT,734874395.6,352739709.89,135951763.19,95533671.43,2128000000.0,3298400000.0,1170400000.0,109863722.14,25720603.85,26000000
2024-05-05,2024-03-31,DELT,749740281.21,359875334.98,138701952.02,97466236.56,2156500000.0,3342575000.0,1186075000.0,112086172.04,26240909.84,26000000
2024-08-04,2024-06-30,DELT,769600297.68,369408142.88,142376055.07,100048038.7,2185000000.0,3386750000.0,1201750000.0,115055244.5,26936010.42,26000000
2022-02-04,2021-12-31,ECHO,900000000.0,324000000.0,112500000.0,63000000.0,2400000000.0,4440000000.0,2040000000.0,72450000.0,31500000.0,30000000
2022-05-05,2022-03-31,ECHO,919894945.36,331162180.33,114986868.17,64392646.18,2436000000.0,4506600000.0,2070600000.0,74051543.1,32196323.09,30000000
2022-08-04,2022-06-30,ECHO,937403652.41,337465314.87,117175456.55,65618255.67,2472000000.0,4573200000.0,2101200000.0,75460994.02,32809127.83,30000000
2022-11-04,2022-09-30,ECHO,950394601.85,342142056.67,118799325.23,66527622.13,2508000000.0,4639800000.0,2131800000.0,76506765.45,33263811.06,30000000
2023-02-04,2022-12-31,ECHO,957833526.34,344820069.48,119729190.79,67048346.84,2544000000.0,4706400000.0,2162400000.0,77105598.87,33524173.42,30000000
2023-05-05,2023-03-31,ECHO,960061550.45,345622158.16,120007693.81,67204308.53,2580000000.0,4773000000.0,2193000000.0,77284954.81,33602154.27,30000000
2023-08-04,2023-06-30,ECHO,958738674.52,345145922.83,119842334.31,67111707.22,2616000000.0,4839600000.0,2223600000.0,77178463.3,33555853.61,30000000
2023-11-04,2023-09-30,ECHO,956459857.16,344325548.58,119557482.15,66952190.0,2652000000.0,4906200000.0,2254200000.0,76995018.5,33476095.0,30000000
2024-02-04,2023-12-31,ECHO,956132090.29,344207552.5,119516511.29,66929246.32,2688000000.0,4972800000.0,2284800000.0,76968633.27,33464623.16,30000000
2024-05-05,2024-03-31,ECHO,960261763.82,345694234.97,120032720.48,67218323.47,2724000000.0,5039400000.0,2315400000.0,77301071.99,33609161.73,30000000
2024-08-04,2024-06-30,ECHO,970326811.04,349317651.97,121290851.38,67922876.77,2760000000.0,5106000000.0,2346000000.0,78111308.29,33961438.39,30000000
